Kỳ 251113051713-11 00:54:59
Đặc Biệt	35599
Nhất	79015
Nhì	99222 -56987
Ba	70057 -50710 -17288 -11658 -91639 -52098
Bốn	7538 -7847 -8281 -4051
Năm	5026 -2901 -9989 -5721 -2048 -3936
Sáu	884 -580 -560
Bảy	04 -88 -99 -49
0	1,4
1	5,0
2	2,6,1
3	9,8,6
4	7,8,9
5	7,8,1
6	0
7	
8	7,8,1,9,4,0,8
9	9,8,9
Kỳ 251113051613-11 00:53:29
Đặc Biệt	62890
Nhất	91737
Nhì	55157 -39145
Ba	23633 -86197 -02451 -87179 -99358 -96047
Bốn	7115 -6146 -9540 -3393
Năm	9196 -0782 -5512 -2089 -1422 -1104
Sáu	411 -604 -347
Bảy	53 -48 -84 -48
0	4,4
1	5,2,1
2	2
3	7,3
4	5,7,6,0,7,8,8
5	7,1,8,3
6	
7	9
8	2,9,4
9	0,7,3,6
